scientificName,records,scientificNameID
Chironomus thummi -t.,57,
"Cinnyris venustus igneiventris Reichenow, 1899",57,
Conchoecia allotherium,57,
Conchoecia arcuata,57,
Cribroelphidium albiumbilicatulum,57,
Cyclopecten alaskensis,57,
Decatopecten vexillum,57,
Deltocyathoides australiensis,57,
Doto juv,57,
Eudendrium ramosum,57,
Globorotalia tosaensis tosaensis,57,
Globorotalita rubescens,57,
Hydrozoa,57,
"Jynx torquilla torquilla Linnaeus, 1758",57,
Laevidentalina catenula,57,
Oxytoxon sp.,57,
Pleurostomella recens,57,
Portunus inicarpus,57,
"Rallus aquaticus aquaticus Linnaeus, 1758",57,
Siphonodosaria sagrinensis,57,
Sphaeroidinella seminularia,57,
"Sphenomorphus solomonis (Boulenger, 1887)",57,
Spionidae genus B Polydora guillei,57,
Stenogramme interrupta,57,
Turborotalia humerosa humerosa,57,
Unicells_and_flagellates,57,
Unidentified - 4227,57,urn:lsid:marinespecies.org:taxname:
Wingea sp.,57,
hetercossura aciculata,57,
sum atradinium druggii,57,
"Acanthogammarus grewingkii (Dybowski, 1874)",56,
"Aethomys kaiseri Noack, 1887",56,
"Afroablepharus wahlbergi (Smith, 1849)",56,
Anomalinoides trinitatensis,56,
Cibicidoides haitiensis,56,
Conchoecia spinireticulata,56,
"Cossypha heuglini heuglini Hartlaub, 1866",56,
Cribroelphidium excavatum selseyensis,56,
"Dryoscopus cubla hamatus Hartlaub, 1863",56,
Globorotalita tenella,56,
Monosiga marina minima,56,0
"Motacilla aguimp vidua Sundevall, 1850",56,
"Nigrita canicapillus canicapillus (Strickland, 1841)",56,
"Onychognathus tenuirostris (Rüppel, 1836)",56,
Order harpacticoida,56,
Parthenope (platylambrus) granulata,56,
Pectinaria juv,56,
"Phyllanthus atripennis bohndorffi (Sharpe, 1884)",56,
Pseudomalacoceros agilis,56,
Solariorbis cupidinensis,56,
Subbotina hardingae,56,
"Sylvia hortensis hortensis (Gmelin, JF, 1789)",56,
Wallodinium lunum,56,
Brizalina reticulata,55,
Cibicidoides trincherasensis,55,
Conchoecia echinata,55,
Druggidium apicopaucicum,55,
"Euplectes progne ansorgei Neumann , 1908",55,
Fellaster_zealandiae,55,
Globigerina rubescens decoraperta,55,
Globoquadrina humerosa acostaensis,55,
Globorotalia semivera,55,
Gorgonian 11,55,
Gracilaria denticulata,55,
Guernea Guernea coalita,55,
Melita dentata,55,NA
Nitzschia sp.,55,http://www.marinespecies.org/aphia.php?p=taxdetails&id=149045|urn:lsid:marinespecies.org:taxname:236889|urn:lsid:marinespecies.org:taxname:236895|urn:lsid:marinespecies.org:taxname:236897|urn:lsid:marinespecies.org:taxname:236900
Paralauterborniella nigrohalteralis,55,
Paraonella monilaris,55,
"Passer italiae (Vieillot, 1817)",55,
Pennate diatom > 10 µm,55,http://www.marinespecies.org/aphia.php?p=taxdetails&id=148899
Phthanoperidinium comatum,55,
Probythinella louisianae,55,
Siphonodosaria atlantisae,55,
Terebellidae sp,55,
Trinovantedinium xylochoporum,55,
Turborotalia continuosa,55,
Unknown sp1,55,
Verneuilinidae taxa,55,
"Zolotistaja sypepa [Soviet Fishery Data, 1998]",55,
Abatus_philippii,54,
"Alcedo cristata cristata Pallas, 1764",54,
"Apus apus apus (Linnaeus, 1758)",54,
Ascocotyle pachycystis,54,
Branchiostoma marambaiensis,54,
"Candoia aspera (Günther, 1877)",54,
"Caprimulgus fossii welwitschii Bocage, 1867",54,
Carcinoplax vestitus,54,
Chaetoceros atlanticus,54,http://www.marinespecies.org/aphia.php?p=taxdetails&id=149288
Conchoecia acuticosta,54,
Craterocephalus stramineus,54,
Eatoniella kerguelensis regularis,54,
Egmontodinium torynum,54,
Gavelinella semicribrata,54,
Globigerinoides adriaticus,54,
Globoquadrina advena,54,
Globorotalia fohsi peripheroacuta,54,
Gorgonian 2,54,
Heliocidaris_erythrogramma,54,
Hypsibius pinguis,54,http://gni.globalnames.org/?search_term=id:11951574
"Meriones tristrami Thomas, 1892",54,
Microphallus turgidus,54,
Narcomedusan,54,
Operculodinium eirikianum,54,
Platynereis dumerilii megalops,54,
Polydora sp,54,
Procladius sublettei,54,
Quistradrilus multisetosus,54,
"Rhinolophus ferrumequinum ferrumequinum (Schreber, 1774)",54,
Saccammina grzybowskii,54,
Spinocalanus horridius,54,
Standella antecedens,54,
Subbotina angiporoides minima,54,
Turborotalia acostaensis,54,
Bathyporeia spec,53,
Chaoborus punctipennis,53,
Fleuria lacustris,53,
Gavelinella micra,53,
Globigerina pseudovenezuelana,53,
Heirops arctica,53,
"Heliophobius argenteocinereus Peters, 1846",53,
Helobdella papillornata,53,
Heterohelix moremani,53,
Keijia mananensis,53,
Lecanora expectans,53,
Mactroidea juvs,53,
Neogloboquadrina pseudofoliata,53,
Paracytherois-group,53,
Phytoplankton,53,
"Pseudolabrus auranthacus (unverified) [Soviet Fishery Data, 1998]",53,
"Quelea erythrops (Hartlaub, 1848)",53,
Rhodoloth,53,
"Sphenomorphus jobiensis (Meyer, 1874)",53,
Stilostomella insecta,53,
"Tauraco schuetti emini (Reichenow, 1893)",53,
Thalassiosira delicatula,53,
Ammodiscus flavians,52,
Amphiroa,52,
Anomalina alazensis spissiformis,52,
Bolivinita robusta,52,
Chaetoceros peruvianus,52,http://www.marinespecies.org/aphia.php?p=taxdetails&id=178185
"Cisticola chubbi chubbi Sharpe, 1892",52,
Conchoecia alata alata,52,
Ctenocidaris_geliberti,52,
Equulites hastatus,52,
Labrina,52,
Mimachlamys cloacata pelseneeri,52,
Morozovella moskvini,52,
Nassarius ravida,52,
Notocidaris_platyacantha,52,
Odostomia plicata,52,
"Onychognathus walleri elgonensis (Sharpe, 1891)",52,
Oolina sulcata,52,
"Pentapodus dux (unverified) [Soviet Fishery Data, 1998]",52,
Phyllidia granulosa,52,
Spinidinium sp.,52,
"Stizorhina fraseri vulpina Reichenow, 1902",52,
"Streptopelia semitorquata semitorquata (Rüppell, 1837)",52,
Tectatodinium psilatum,52,
Turborotalia acostaensis acostaensis,52,
Unidentified - 4524,52,urn:lsid:marinespecies.org:taxname:
Actiniscus pentaradiatus,51,
"Aethomys kaiseri walambae (Wroughton, 1907)",51,
Amphipneustes_rostratus,51,
Ascidiella opalina,51,
Ceratium breve var. paralellum,51,
"Cricetomys gambianus Waterhouse, 1840",51,
"Dama dama (Linnaeus, 1758)",51,
"Dendrocopos minor hortorum (Brehm, 1831)",51,
Dictyocysta lepida,51,
Eoglobigerina simplicissima,51,
Fritillaridae,51,urn:lsid:itis.gov:itis_tsn:159673
Globigerina euaperta,51,
Globobulimina spinifera,51,
Globoquadrina venezuelana conglomerata,51,
Globorotalia compressa,51,
Guernea,51,
"Halcyon chelicuti chelicuti (Stanley, 1814)",51,
Icterus spurius,51,179064
Igorina spiralis,51,
"Merops oreobates (Sharpe, 1892)",51,
"Muscicapa comitata comitata   (Cassin, 1857)",51,
"Myotis mystacinus mystacinus (Kuhl, 1817)",51,
Neogloboquadrina pachyderma dextralis and pdi,51,
Palinurid phyllosoma,51,
Paraonella platybranchia,51,
"Perdix perdix perdix (Linnaeus, 1758)",51,
"Ploceus ocularis crocatus (Hartlaub, 1881)",51,
Porphyra acanthophora var acanthophora,51,
Propeamussium caducum caducum,51,
Recurvoides scitulum,51,
Rhodymenia novahollandica,51,
Rosita plummerae,51,
Salpa fusiformis aspera,51,
Stomatopod,51,http://www.marinespecies.org/aphia.php?p=taxdetails&id=14355
Subbotina moskvini,51,
Tisbe furcata furcata,51,
Unidentified - 8620,51,urn:lsid:marinespecies.org:taxname:
"unid. larva [SEF study, 2010]",51,
**non-current code** Cetonurus sp.,50,
Anemone tube - unidentified,50,
Anisocorbula tunicata,50,
Anoplodayctylus petiolatus,50,
Class asteroidea,50,
Diatoma,50,
Globigerinita uvula minuta,50,
Globigerinoides praeprimordius,50,
Globoppia maior,50,http://gni.globalnames.org/?search_term=id:9979447
Hastigerinella digitata praedigitata,50,
Hawaiia miniscula,50,
Hippuraria armata,50,
Hystrichodinium pulchrum,50,
Lejeunecysta oliva,50,
Mimachlamys munda,50,
Navicula cristata,50,http://www.marinespecies.org/aphia.php?p=taxdetails&id=341547
Nonionella atlantisae,50,
Ophiothrix juv,50,
Paratendipes albimanus,50,
Peridinioid cysts indeterminata,50,
Piranga rubra,50,
"Ploceus cucullatus cucullatus (Statius Müller, 1776)",50,
"Ploceus melanocephalus dimidiatus (Antinori & Salvadori, 1873)",50,
Pontinus inesae,50,
Porticulasphaera semiinvoluta,50,
"Pseudalethe poliocephala carruthersi (Ogilvie-Grant, 1906)",50,
Roeboides thurni,50,
Samlandia delicata group,50,
Senegalinium spp.,50,
"Sergia near splendens [CAAB V1, 2008]",50,
Spio SP,50,
Symploca laete-viridis,50,
Unidentified - 9992,50,urn:lsid:marinespecies.org:taxname:
"debris - miscellaneous [NOO cruise 2000, 2000]",50,
Atlanta lesueurii,49,
Brachyrhncha,49,
"Carollia perspicillata (Linnaeus, 1758)",49,
Conchoecia kyrtophora,49,
Corrudinium harlandii,49,
Diacyclops clandestinus-group,49,
Globigerinita quinqueloba,49,
Gonodactylus graphurus,49,
Gyroidinoides tellburnaensis,49,
Hyperia,49,
Musculus,49,
Nematocentris fluviatilis,49,
Paragloborotalia opima opima,49,
"Phrynobatrachus anotis Schmidt & Inger, 1959",49,
Phylum Echiura - undifferentiated,49,
Praeorbulina glomerosa curva,49,
"Quelea quelea aethiopica (Sundevall, 1850)",49,
Semljicola beringianus,49,
Spicule,49,
Stempellinella edwardsi,49,
Subbotina frontosa,49,
Unid dolphin,49,
Alcyonidium digitatum,48,
Amphicteis medeu,48,
Antigonia lamellaris,48,
Ascidiella spp,48,
"Bubulcus ibis ibis (Linnaeus, 1758)",48,
"Bufo funereus upembae Schmidt & Inger, 1959",48,
Carinovalva patrasiensis,48,
"Ceryle rudis rudis (Linnaeus, 1758)",48,
Chrysaora quinquechirrha,48,
Conchoecia plinthina,48,
Cribroperidinium tenuitabulatum,48,
"Cyanomitra cyanolaema cyanolaema  (Jardine & Fraser, 1851)",48,
Cymatopleura solea,48,
Dentoglobigerina altispira globosa,48,
Emberiza citrinella,48,
Emiliana/Gephyrocapsa,48,
Eohemithyris grayi,48,
"Estrilda nonnula nonnula Hartlaub, 1883",48,
Eucytherura antoniettae,48,
Fragillaria sp.,48,
"Genetta maculata (Gray, 1830)",48,
Globigerina tenella,48,
Globigerinatheka howeii,48,
Globotruncana insignis,48,
Gold balls,48,
Harnischia curtilamellata,48,
Hydraena testacea,48,
Labidoplax dubia,48,
"Lanius mackinnoni Sharpe, 1891",48,
Leptocylindricus minimus/mediterraneus,48,
Lirceus tenax,48,
Loxoconcha hodonica,48,
"Mops condylurus Smith, 1833",48,
Oligochaeta,48,urn:lsid:marinespecies.org:taxname:2036)|urn:lsid:itis.gov:itis_tsn:914193
Orthomaera othonis,48,
Ostracoda fragments,48,
Pectinaria Pectinaria belgica,48,
Podolampus elegans,48,
Pseudocalanus copepodite,48,
Quadrimorphina halli,48,
"Rana ruwenzorica Laurent, 1972",48,
Semicytherura rarum,48,
Siphonodosaria modesta,48,
Stilostomella curvatura,48,
Stylocordyla borealis oblong,48,
Tectatodinium reticulatum,48,
"Terpsiphone viridis plumbeiceps Reichenow, 1898",48,
Urocythereis exedata,48,
diatoms,48,
"Acanthocercus cyanogaster (Rüppell, 1835)",47,
Ammodiscacea,47,
Ampelisca compressa minianus,47,
Caenotropus maculosus,47,
Chaetoceros concavicorne f. volans,47,
"Charadrius dubius curonicus Gmelin, 1789",47,
Clione,47,
"Colius striatus congicus Reichenow, 1923",47,
Conchoecia nasotuberculata,47,
Crucibiscutum salebrosum,47,
"Dasyprocta leporina (Linnaeus, 1758)",47,
Decatopallium antillarum,47,
Ekdiastylis horrida,47,
Endochironomus,47,urn:lsid:itis.gov: itis_tsn:129470
"Estrilda astrild occidentalis Jardine & Fraser, 1851",47,
Favonigobius obliquus,47,
Globigerinoides ruber roseus,47,
Globorotalia atlantica,47,
Gyroidinoides subangulatus,47,
Hyanesina orbiculare,47,
Lagena biancae,47,
Lagenammina alexanderi,47,
Lithophyllum stictaeforme,47,
"Lybius torquatus zombae (Shelley, 1893)",47,
Martinitiella variabilis,47,
Oithona attenuata stocky,47,
Others,47,
"Pachydactylus tuberculosus (Boulenger, 1894)",47,
"Pan troglodytes schweinfurthi Giglioli, 1872",47,
Parvamussium jeffreysi jeffreysi,47,
Pentaspharsodinium dalei,47,
Prayid sp.,47,
Prunulum coccymelium ?,47,
Recurvoides/Cribrostomoides,47,
Sagartia abyssicola,47,
Spisula spec,47,
Stenocionops furcata furcata,47,
Thysanopoda micropthalma acutifrons,47,
Trinovantedinium harpagonium,47,
Vepricardium leve,47,
Alcyonium,46,
Anthophyta,46,
"Apogon anomalis (unverified) [Soviet Fishery Data, 1998]",46,
Belodinium dysculum,46,
Bullera sp.,46,
Cibicidoides coryelli,46,
Circulodinium deflandrei,46,
"Circus cyaneus cyaneus (Linnaeus, 1766)",46,
Cymatiosphaera invaginata,46,
Finmarchinella barentzovoensis,46,
Globigerinatheka index tropicalis,46,
Gyrosigma tennuissimum hyperborea,46,0
Heterorhabdus sp.,46,
Holophaga,46,
"Lanius collaris humeralis Stanley, 1814",46,
"Leptailurus serval (Schreber, 1776)",46,
Leptonema,46,
"Lygodactylus picturatus gutturalis (Bocage, 1873)",46,
Metridia,46,
"Microtus agrestis (Linnaeus, 1761)",46,
Paranesdiea cespedensis,46,
Photostomias guernei,46,
Sepsina tetradactyla hemptinnei de Witte,46,
Subbotina euapertura,46,
Systematophora areolata,46,
"Tatera valida liodon (Thomas, 1902)",46,
Triconia conifera complex,46,http://www.marinespecies.org/aphia.php?p=taxdetails&id=128957
Unidentified - 1600,46,urn:lsid:marinespecies.org:taxname:
"Acanthogammarus reichertii (Dybowski, 1874)",45,
Arcoscalpellum antillarum,45,
"Asio otus otus (Linnaeus, 1758)",45,
Benthic foraminifera as eutrophic indicators,45,
"Chlidonias niger niger (Linnaeus, 1758)",45,
Cibicidoides alleni,45,
Echinomma popofskii,45,
"Eminia lepida Hartlaub, 1881",45,
Endamoeba histolytica,45,
"Falco peregrinus peregrinus Tunstall, 1771",45,
"Gerrhosaurus nigrolineatus Hallowell, 1857",45,
Globanomalina pseudoscitula,45,
Globigerina connecta,45,
Globigerinella digitata,45,
"Halcyon senegalensis senegalensis (Linnaeus, 1766)",45,
JELLYFISH,45,
Jenkinsella mayeri,45,
Lepidophanes pyrsobolus,45,
Leptasterias polaris acervata polythela,45,
Meiourogonyaulax diaphanis,45,
Monodiamesa bathyphila,45,
Muderongia australis,45,
Oncaea mediterranea broad,45,http://www.marinespecies.org/aphia.php?p=taxdetails&id=128939
"Phalacrocorax africanus africanus (Gmelin, 1789)",45,
Phalacrocorax punctatus punctatus,45,ITIS:TSN:824219
Phormospyris stabilis scaphipes,45,
Phyllodoce juvenile,45,
Physcia dubia,45,
Praeorbulina glomerosa circularis,45,
Pseudolabrus parilis,45,
Pyxidinopsis tuberculata,45,
"Terpsiphone viridis speciosa (Cassin, 1859)",45,
Turborotalita iota,45,
Turrilina robertsi,45,
"Tyto alba alba (Scopoli, 1769)",45,
xenophyphores,45,
Acritarch spp.,44,
Apteodinium australiense,44,
"Arvicanthis niloticus nubilans Wroughton, 1909",44,
Bryozoan 20,44,
Cavolina trispinosus,44,
"Cercopithecus mitis Wolf, 1822",44,
"Chamaeleo (Trioceros) rudis Boulenger, 1906",44,
Clausicoccus fenestratus,44,
Crepidula aculeata,44,72628
"Criniger ndussumensis (Reichenow, 1904).",44,
Ctenocidaris_rugosa,44,
"Dephomys defua (Miller Jr., 1900)",44,
"Dicrurus modestus coracinus Verreaux, J. & Verreaux, E., 1851",44,
Gyridinoides orbicularis,44,
"Herpetocypris helenae Müller, 1908",44,
Hygrosoma_luculentum,44,
Isactinernus flavus,44,
Lathrobium spp.,44,
"Lepus europaeus Pallas, 1778",44,
Limnadopsis paratatei,44,
"Miniopterus inflatus Thomas, 1903",44,
Monodiamesa,44,urn:lsid:itis.gov: itis_tsn:128440
Morozovella coronata,44,
"Pogoniulus scolopaceus flavisquamatus (Verreaux J.P. & Verreaux J.B.E., 1855)",44,
Praetenuitella insolita,44,
Pseudantalis engischistum,44,
Racemiguembelina intermedia,44,
Rhizosolenia chunni,44,http://www.marinespecies.org/aphia.php?p=taxdetails&id=341502
SAGMEG,44,
Selenopemphix antarctica,44,
"Strix aluco aluco Linnaeus, 1758",44,
Tricolia herberti,44,
Trigonostoma mangeloides,44,
Unidentified - 6715,44,urn:lsid:marinespecies.org:taxname:
"debris - rocks [NOO cruise 2000, 2000]",44,
Adelphotectonica nobilis,43,
Anaerobranca,43,
"Atilax paludinosus (Cuvier, 1829)",43,
"Bodianidae gen. sp. unknown [Soviet Fishery Data, 1998]",43,
Cerion caerulescens,43,
Chlamys,43,
Corrudinium labradori,43,
"Cryptomys hottentotus (Lesson, 1826)",43,
Desulfotomaculum,43,
"Dolichotis patagona (Zimmermann, 1780)",43,
"Emoia jakati (Kopstein, 1926)",43,
Eponides elevatus,43,
"Eremomela scotops pulchra (Bocage, 1878)",43,
Galaxiella toourtkoourt,43,
Glaphyrocysta inticata,43,
Globigerina praerubra,43,
Globorotalia praemenardi archaeomenardi,43,
Gorgonian 17,43,
Lagena semiinterrupta,43,
Loxostomum pseudobeyrichi,43,
Paramunida scabra,43,
Plectina gr. lenis-conversa,43,
Quiscalus mexicanus,43,
Salmacis bicolorata,43,
Selenopemphix brevispinosa,43,
Similamusium sp.,43,
"Species indefinite [Soviet Fishery Data, 1998]",43,
Spiochaetopterus pottsi,43,
Stilostomella caribaea,43,
Styela rustica macrenteron,43,
Subbotiona venezuelana,43,
Superfamily Pterotracheoidea,43,http://www.marinespecies.org/aphia.php?p=taxdetails&id=387338
"Thescelocichla leucopleura (Cassin, 1855)",43,
Tripylus_abatoides,43,
Turborotalia cerroazulensis pomeroli,43,
Verruca floridana,43,
Xenophyophora,43,
Abatus_curvidens,42,
Acarinina decepta,42,
Astronion gallowayi,42,
"Atherurus africanus Gray, 1842",42,
Australocypris insularis,42,
"Brittle star 3 [Cleveland list, 2002]",42,
Bryozoan 18,42,
"Campephaga flava Vieillot, 1817",42,
"Centropus superciliosus loandae Grant, 1915",42,
"Ceuthmochares aereus aereus (Vieillot, 1817)",42,
Chaetoceros seiracanthum,42,
Chlamys lowei,42,
"Clamator levaillantii (Swainson, 1829)",42,
Class insecta,42,
Clytia,42,
Conchoecia dasyophthalma,42,
D. denticulatum,42,
Desmarestia,42,
Drifa gaboensis,42,
Erigone psychrophila,42,
Gammariids,42,
Geloina maritima,42,
Globigerinita parvula,42,
Globigerinita praestainforthi,42,
"Hippopotamus amphibius Linnaeus, 1758",42,
Holtbyrnia problematica,42,
Hybauchenidium aquilonare,42,
Hyperiids,42,
"Ixonotus guttatus Verreaux, J. & Verreaux, E. , 1851",42,
Lenticulina altiformis,42,
Levipora laevigatus,42,
"Loxia curvirostra poliogyna Whitaker, 1898",42,
"Martes foina foina (Erxleben, 1777)",42,
Metacyctis,42,NA
"Mus musculoides Temminck, 1853",42,
Nectophore,42,
Oppia loxolineata,42,http://gni.globalnames.org/?search_term=id:10551468
Osangularia schloenbacheri,42,
Paint,42,
Rosita patelliformis,42,
Solibacteraceae,42,
"Spermestes fringilloides (Lafresnaye, 1835)",42,
Sphaeroidinellopsis dehiscens,42,
"Stenomys niobe (Thomas, 1906)",42,
Stephanophyllia letepsammia formosissima,42,
"Strombus plicatus pulchellus Reeve, 1851",42,
"Sylvia cantillans cantillans  (Pallas, 1764)",42,
Synedra ulna var. ulna,42,
Yoldiella inconspicua inconspicua,42,* send email about species*
Amphipneustes_bifidus,41,
Astarte depressa,41,
Asychis,41,
Bolivinellina pacifica,41,
Bosmina coregoni coregoni,41,
Brachysternaster_chesheri,41,
"Bryozoan 2 [Cleveland list, 2002]",41,
"Buccanodon duchaillui duchaillui (Cassin, 1855)",41,
Cambarincola philadelphica,41,
Catapsydrax unicavus primiativus,41,
Chaoboridae,41,
"Cyprideis aciculata Wouters, 2007",41,
Dendroica coronata coronata,41,178892
"Dyaphorophyia castanea castanea (Fraser, 1843)",41,
"Exilichthys nudiceps (unverified) [Soviet Fishery Data, 1998]",41,
Finegoldia,41,
Globigerina praebulloides leroyi,41,
Globigerinatheka mexicana kugleri,41,
Globoquadrina pachyderma sinistralis,41,
Gorgonian 15,41,
Gorgonian 16,41,
Herklotsichthys abbreviata,41,
Marssonella trochoides,41,
Melanotaenia tatei,41,
Morozovella aragonensis aragonensis,41,
Muderongia tetracantha,41,
Muricoglobigerina soldadoensis,41,
"Naja melanoleuca Hallowell, 1857",41,
"Nanonycteris veldkampi (Jentink, 1888)",41,
Nuculoida,41,urn:lsid:itis.gov:itis_tsn:566853
Other seeds,41,
Pachygnatha clerckii,41,
Pagastiella orophila,41,
Paractaea rufopunctata nodosa,41,
Paraneetroplus maculicauda,41,
"Phalacrocorax carbo sinensis (Blumenbach, 1798)",41,
"Pipistrellus nanus nanus (Peters, 1852)",41,
Pseudoetrema collina,41,
Pyrulinoides acuminatus,41,
Reticulofenestra minutula,41,
Scyphiphora hydrophylacea,41,
Similamusium scitulum,41,
"Spermestes bicolor poensis (Fraser, 1843)",41,
Spiniferites rubinus,41,
"Terpsiphone rufiventer emini  Reichenow, 1893",41,
"Tragelaphus scriptus (Pallas, 1766)",41,
Zeaglobigerina connecta,41,
Abatus_nimrodi,40,
Abatus_shackletoni,40,
Acarospora williamsii,40,
"Alcedo atthis ispida Linnaeus, 1758",40,
"Carduelis flammea flammea (Linnaeus, 1758)",40,
"Cercotrichas barbata barbata (Hartlaub & Finsch, 1870)",40,
"Chalcomitra amethystina deminuta  Cabanis, 1880",40,
Conchoecia dentata,40,
Cribrostromoides spp.,40,
"Cricetomys emini Wroughton, 1910",40,
Cyclops sp.,40,
"Dasymys rufulus Miller Jr., 1900",40,
"Euplectes axillaris phoeniceus (Heuglin, 1862)",40,
"Eurystomus glaucurus suahelicus Neumann, 1905",40,
Fungia fungia fungites,40,
Fursenkoina cylindrica,40,
Globigerinoides amplus,40,
Globigerinoides quadrilobus,40,
Globoquadrina acostaensis,40,
Globorotalia eastropacia,40,
Globotruncanella yaucoensis,40,
Gorgonian 4,40,
Gracilaria corticata,40,
Grania sp,40,
"Herpetocypris chevreuxi (Sars, 1896)",40,
Hydrozoa spec,40,
Hyperidae,40,
Hypostomus hemiurus,40,
Igorina broadermanni,40,
Lepidotidae,40,
"Manis tricuspis Rafinesque, 1821",40,
"Melaenornis fischeri toruensis (Hartert, E., 1900)",40,
Notocidaris_gaussensis,40,
"Numenius phaeopus phaeopus (Linnaeus, 1758)",40,
Oxyporhamphidae,40,
Paleanotus occidentale,40,
"Phacochoerus aethiopicus (Pallas, 1776)",40,
"Philothamnus carinatus (Andersson, 1901)",40,
Planorotalites planocompressa,40,
Rugoglobigerina scotti,40,
"Serolis sp. like australiensis [SS list, 2000]",40,
Sumatradinium sp.,40,
"Trachyphonus purpuratus elgonensis (Sharpe, 1891)",40,
Unknown copepodite,40,
Zeus faber faber,40,
Acarinina praepentacamerata,39,
Actinocyclus octonarius v. crassus,39,
"Aethomys kaiseri pedester (Thomas, 1911)",39,
Ampelisca cristata microdentata,39,
Barbus trispilos,39,
Bifarina alabamensis,39,
Branchiomma nigromaculata,39,68213
Cannosphaeropsis passio,39,
Caridea: Carid,39,
"Chamaeleo (Trioceros) quadricornis quadricornis Tornier, 1899",39,
Conchoecia clausi,39,
Conchoecia wolferi,39,
Corallonidere,39,
Cucumaria ferrari,39,
Dicrotendipes pulsus,39,
Dictyopteris naevosa,39,
Euaugaptilus filiger,39,
Eucampia antarctica,39,http://www.marinespecies.org/aphia.php?p=taxdetails&id=341381
"Falco subbuteo subbuteo Linnaeus, 1758",39,
Family halocyprididae,39,
"Genetta maculata sthulmanni Matschie, 1902",39,
Globorotalia menardii menardii dextralis,39,
Globorotalia pseudomiozea,39,
Globorotalites umbilicatus,39,
Goniocidaris_impressa,39,
"Indicator indicator (Sparrman, 1777)",39,
"Ixobrychus minutus minutus (Linnaeus, 1766)",39,
Kasim mikado,39,
Kefersteinia,39,
"Laudakia atricollis (Smith, 1849)",39,
Maera,39,
Malacanthura coronicauda,39,
Menippe,39,
Mytilocypris splendida,39,
"Pipistrellus pipistrellus pipistrellus (Schreber, 1774)",39,
Planorotalites imitatus,39,
Porodiscus sp.,39,
Probopyrus alphei,39,
"Pyrrhurus scandens orientalis (Hartlaub, 1883)",39,
"Rana desaegeri Laurent, 1972",39,
Sargassum elegans,39,
Scolomyia,39,
"Spermestes cucullata scutata (Heuglin, 1863)",39,
Spiroplectammina subhaeringensis,39,
Spongiaria,39,
Spongolena sp.,39,
Stelladinium robustum,39,
Stereotydeus villosus,39,http://gni.globalnames.org/?search_term=id:5784013
"Sterna albifrons albifrons Pallas, 1714",39,
"Tauraco schalowi (Reichenow, 1891)",39,
"Tchagra australis emini (Reichenow, 1893)",39,
"Thalasseus sandvicensis sandvicensis Latham, 1787",39,
"Tockus alboterminatus geloensis (Neumann, 1905)",39,
Tugurium caribaeum,39,
**non-current code** Engyprosopon sp.,38,
**non-current code** Scorpaenidae Larvae A,38,
"Amaurornis flavirostris (Swainson, 1816)",38,
Ammodiscus granulosus,38,
"Andropadus gracilirostris gracilirostris  Strickland, 1844",38,
Arcoscalpellum regina,38,
Bolivinopsis adamsi,38,
Brizalina catenata,38,
"Campethera caroli caroli (Malherbe, 1852)",38,
"Carduelis flavirostris flavirostris (Linnaeus, 1758)",38,
Caryophylliina,38,
Cephalacanthidae,38,
Chaetoceros decipiens f. singulare,38,
"Chamaeleo (Chamaeleo) gracilis gracilis Hallowell, 1842",38,
Chione clenchi,38,
Clione limacina gracilis,38,
Conchoecia macromma,38,
Conchoecia mollis,38,
Cribroperidinium giuseppei,38,
Cryptococcolithus mediaperforatus,38,
Cylindrial diatom,38,http://www.marinespecies.org/aphia.php?p=taxdetails&id=148899
Eoglobigerina pentagona,38,
"Gerbillus gerbillus gerbillus (Olivier, 1801)",38,
Globigerinoides conglobatus canimarensis,38,
Globigerinoides ruber highspired,38,
Globoquadrina altispiris globularis,38,
Gobiina,38,
Gonostomatidae sp.,38,http://www.marinespecies.org/aphia.php?p=taxdetails&id=125601
Heliocladus,38,
Hormosina gigantea,38,
"Hydrochaeris hydrochaeris (Linnaeus, 1766)",38,
Lactophrys cornutus,38,
"Lemniscomys striatus (Linnaeus, 1758)",38,
Leujeunocysta oliva,38,
"Mabuya perrotetii upembae de Witte, 1953",38,
"Microtus agrestis levernedii Crespon, 1844",38,
Miscellaneous congruentidiacean cysts,38,
Morozovella pusilla pusilla,38,
Murciglobigerina aquiensis,38,
Murciglobigerina chascanona,38,
Nodosaria affinis,38,
Oolina globulosa,38,
Orbitoidacea,38,
Oridorsalis subtenera,38,
"Oriolus larvatus angolensis  Neumann, 1905",38,
Paradoxostoma antarcticum,38,http://gni.globalnames.org/?search_term=id:10434078
Pseudocythereisnifera,38,
"Recurvirostra avosetta avosetta Linnaeus, 1758",38,
Reticulofenestra celtica,38,
Rhizosolenia alata gracilima,38,
Scaphella kieneri,38,
Spio spp,38,
Squilla heptacantha,38,
Stenus spp.,38,
Stilostomella nuttalli,38,
"Tachyoryctes ruandae Lönnberg & Gyldenstolpe, 1925",38,
"Treron calva salvadorii (Dubois, 1897)",38,
Unidentified - 4224,38,urn:lsid:marinespecies.org:taxname:
"Amathia sp. [Cleveland list, 2002]",37,
Areosphaeridium arcuatum,37,
Astronion pusillum,37,
Augaptilus glacialis,37,
Barentsia spp,37,
Brizalina interjuncta bicostata,37,
Candonocypris novaezelandiae,37,
Capitellidae spec,37,
Ceratium breve var. schmidtii,37,
