scientificname,scientificnameid,records,phylum,class,order,family,genus,annotation_type,annotation_aphiaid,datasets
Centricae,,33,,,,,,,,f6e5b0ee-d645-40fc-a433-17fd8965c941
Tugurium longleyi,,33,,,,,,,,179bf430-816f-4ea4-bb0e-f57505fac607
Mytilocypris henricae,,33,Arthropoda,Ostracoda,Podocopida,Cyprididae,Mytilocypris,,,517ac935-af0f-4358-88fb-7093015182af
Tugurium caribbaeum,,33,,,,,,,,179bf430-816f-4ea4-bb0e-f57505fac607
Pachycephala lanioides,,33,,,,PACHYCEPHALIDAE,,,,20ed089b-f985-4a2b-9507-7f14945d5c1c
Siphonodentalioida sp 2,,33,,,,,,,,a9a3bdc6-209f-4c66-aafd-ce5271cb63b3
Pereondus thomsoni c60 lh,,33,,,,,,,,4f4d7534-c08d-427f-8fed-9e955c8242ce
"Romecytheridea bacata Wouters, 2007",,33,Arthropoda,"Ostracoda Latreille, 1802","Podocopida Sars, 1866","Cytherideidae Sars, 1925","Romecytheridea Wouters, 1988",,,0912e81c-c5ac-4a53-b719-a9ae6535f895
Stephanauge vestita,,33,,,,,,,,179bf430-816f-4ea4-bb0e-f57505fac607
Marphysa belli totospinata,,33,,,,,,,,a9a3bdc6-209f-4c66-aafd-ce5271cb63b3
"Tanganyikacythere fulgens Wouters, 2007",,33,Arthropoda,"Ostracoda Latreille, 1802","Podocopida Sars, 1866","Cytherideidae Sars, 1925","Tanganyikacythere Ducasse & Carbonel, 1993",,,0912e81c-c5ac-4a53-b719-a9ae6535f895
"Motacilla flava thunbergi Billberg, 1828",,33,"Chordata Bateson, 1885",Aves,Passeriformes,Motacillidae,"Motacilla Linnaeus, 1758",,,e9acab50-8203-4c1e-b2e7-cbb850670808
"Paraxerus boehmi emini (Stuhlmann, 1894)",,33,"Chordata Bateson, 1885","Mammalia Linnaeus, 1758","Rodentia Bowdich, 1819","Sciuridae Fischer de Waldheim, 1817","Paraxerus Forsyth, 1893",,,94733b9b-61d0-40c3-8577-440dd4cb2c41
"Parus fasciiventer fasciiventer Reichenow, 1893",,33,"Chordata Bateson, 1885",Aves,Passeriformes,Paridae,"Parus Linnaeus, 1758",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Schistomeringos rudolphi anoculata,,33,,,,,,,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
Terpsinoë musica,,33,,,,,,,,49b938b5-2d5a-43c0-92f9-26354f189f82
Yoldiella lata,,33,Mollusca,Bivalvia,Nuculanoida,Yoldiidae,Yoldiella,,,2647b5a1-85b7-40e6-ba5d-af8bde46384b
Yoldiella sanesia,,32,,,,,,,,e7c86904-aac7-4a17-a895-99a54c430d80
Vimba persa,,32,,,,,,,,9f1a9d1c-833e-4fbc-9ecf-1918c7a8b699
"Anthreptes rectirostris tephrolaema (Jardine & Fraser, 1851)",,32,"Chordata Bateson, 1885",Aves,Passeriformes,"Nectariniidae (Vigors, 1825)","Anthreptes Swainson, 1832",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Impagidinium japonicum,,32,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2; 38535a43-2982-4479-88c1-8303f7ee8665; cdcddae2-a8e0-4c86-9e8d-f85134876937
Herendeenia postprojecta,,32,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2; 38535a43-2982-4479-88c1-8303f7ee8665
"Laniarius erythrogaster (Cretzschmar, 1829)",,32,"Chordata Bateson, 1885",Aves,Passeriformes,Corvidae,Laniarius Vieillot,,,e9acab50-8203-4c1e-b2e7-cbb850670808
"Creatophora cinerea (Meuschen, 1787)",,32,"Chordata Bateson, 1885",Aves,Passeriformes,Sturnidae,"Creatophora Lesson, 1847",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Ascostomocystis granosa,,32,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2; 38535a43-2982-4479-88c1-8303f7ee8665
Achomosphaera andalousiense,,32,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665; cdcddae2-a8e0-4c86-9e8d-f85134876937
Dapsilidinium warrenii,,32,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2; 38535a43-2982-4479-88c1-8303f7ee8665
"Cossypha archeri archeri Sharpe, 1902",,32,"Chordata Bateson, 1885",Aves,Passeriformes,"Turdidae Rafinesque, 1815","Cossypha Vigors, 1825",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Globigerinoides trilobus immaturus,,32,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665; cdcddae2-a8e0-4c86-9e8d-f85134876937
Iphimedia,,32,,,,,,,,a9a3bdc6-209f-4c66-aafd-ce5271cb63b3; 12acbce5-cb41-48c4-bd80-6030b0f0a83f; f0153b4d-22d6-4368-b89f-ea7c8aa56e67; d69036d6-00c8-445c-89aa-f9149cb1de31; 63187f4a-1af9-4611-8f05-e806676ab55b
Chlamys imbricata,,32,,,,,,,,89e23fc8-3f61-4480-9de3-358fe6eefe0b; f7777a70-e23c-436a-a0cb-9200bf87e194
Anomalina semicribrata,,32,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665
Anomalina spissiformis,,32,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665; b58d5ca0-1af8-48b3-993d-6c89742bb0d2
Chrysopatelidae sp2,,32,,,,,,,,4f4d7534-c08d-427f-8fed-9e955c8242ce
Hirsutella hirsuta,,32,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2
Lagena ssp.,,32,,,,,,,,1bcef367-cb04-4cf6-ab1e-eab1c2b0172a
Globorotalia praeinflata,,32,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665; b58d5ca0-1af8-48b3-993d-6c89742bb0d2
"Baeopogon indicator indicator (Verreaux, J & Verreaux, E, 1855)",,32,"Chordata Bateson, 1885",Aves,Passeriformes,Pycnonotidae,"Baeopogon Heine, 1860",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Phorbas areolatus,,32,,,,,,,,9b1a023a-219c-4280-9802-1c7896803570; b1f8bc4c-5427-40c8-8728-aad4d463b944
"Ruwenzorornis johnstoni bredoi Verheyen, 1947",,32,"Chordata Bateson, 1885",Aves,Cuculiformes,Musophagidae,"Ruwenzorornis Neumann, 1903",,,e9acab50-8203-4c1e-b2e7-cbb850670808; 7c9aa715-ea1e-4dae-876b-1fde99448ce0
Microtus clarkei,,32,,,,,,,,46c52e34-73b7-45e6-a2ac-742e4c2058c5
Turborotalia opima opima,,32,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665
"Mylomys dybowskii (Pousargues, 1893)",,32,"Chordata Bateson, 1885","Mammalia Linnaeus, 1758","Rodentia Bowdich, 1819",Muridae Illiger,"Mylomys Thomas, 1906",,,94733b9b-61d0-40c3-8577-440dd4cb2c41
Sarsiella disparalis,,32,,,,,,,,89e23fc8-3f61-4480-9de3-358fe6eefe0b; 982d4bc2-c3f1-4018-befd-ed34b101e4b1
Praeglobotruncana havanensis,,32,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665; b58d5ca0-1af8-48b3-993d-6c89742bb0d2
"Turdoides jardineii tanganjicae (Reichenow, 1886)",,32,"Chordata Bateson, 1885",Aves,Passeriformes,Sylviidae,"Turdoides Cretzschmar, 1827",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Sphaerocystis,,32,,,,,,,,1f15159f-6d35-4c3f-86e8-b3a89041ea33; 58420107-111e-41f9-bcb7-d8abd65a7c1b; 46c52e34-73b7-45e6-a2ac-742e4c2058c5
Subbotina brevis,,32,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2
"Macrodipteryx vexillarius (Gould, 1838)",,32,"Chordata Bateson, 1885",Aves,Caprimulgiformes,"Caprimulgidae Vigors, 1825","Macrodipteryx Swainson, 1837",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Sphaerosyllis hystrix taylori,,31,,,,,,,,a9a3bdc6-209f-4c66-aafd-ce5271cb63b3
"Phylloscopus trochilus acredula (Linnaues, 1758)",,31,"Chordata Bateson, 1885",Aves,Passeriformes,Sylviidae,"Phylloscopus Boie, 1826",,,e9acab50-8203-4c1e-b2e7-cbb850670808
"Taphozous mauritianus Geoffroy Saint-Hilaire, 1818",,31,"Chordata Bateson, 1885","Mammalia Linnaeus, 1758","Chiroptera Blumenbach, 1779",Emballonuridae Gervais,"Taphozous Geoffroy Saint-Hilaire, 1818",,,94733b9b-61d0-40c3-8577-440dd4cb2c41
"Turdoides sharpei (Reichenow, 1891)",,31,"Chordata Bateson, 1885",Aves,Passeriformes,Sylviidae,"Turdoides Cretzschmar, 1827",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Micropanope laevimanus,,31,,,,,,,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
"Mesocyprideis pila Wouters, 1999",,31,Arthropoda,"Ostracoda Latreille, 1802","Podocopida Sars, 1866","Cytherideidae Sars, 1925","Mesocyprideis Wouters & Martens, 1992",,,0912e81c-c5ac-4a53-b719-a9ae6535f895
"Prinia subflava affinis (A. Smith, 1843)",,31,"Chordata Bateson, 1885",Aves,Passeriformes,Cisticolidae,"Prinia Horsfield, 1821",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Planorotalites reissi,,31,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2; 38535a43-2982-4479-88c1-8303f7ee8665
Planorotalites pseudoimitata,,31,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2; 38535a43-2982-4479-88c1-8303f7ee8665
Masikia indistincta,,31,,,,,,,,d98337e1-977f-4e4c-bd02-ae0aa69caa3a
"Rattus rattus alexandrinus (Desmarest, 1819)",,31,"Chordata Bateson, 1885","Mammalia Linnaeus, 1758","Rodentia Bowdich, 1819",Muridae Illiger,"Rattus Fischer von Waldheim, 1803",,,94733b9b-61d0-40c3-8577-440dd4cb2c41
"Sylvia atricapilla gularis  Alexander, 1898",,31,"Chordata Bateson, 1885",Aves,Passeriformes,Sylviidae,"Sylvia Scopoli, 1768",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Pelotomaculum,,31,,,,,,,,2fd06604-7d20-4712-9f68-eae9ae336bb5
Subbotina pseudoeocaena,,31,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2
"Malacomys longipes Milne-Edwards, 1877",,31,"Chordata Bateson, 1885","Mammalia Linnaeus, 1758","Rodentia Bowdich, 1819",Muridae Illiger,"Malacomys Milne-Edwards, 1877",,,94733b9b-61d0-40c3-8577-440dd4cb2c41
Paragloborotalia quadrilocula,,31,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665
Lovamia fasciata,,31,,,,Apogonidae,Lovamia,,,5db2ffe4-8764-4647-9271-467192832793
"Terpsiphone rufiventer ignea (Reichenow, 1901)",,31,"Chordata Bateson, 1885",Aves,Passeriformes,Corvidae,"Terpsiphone Gloger, 1827",,,e9acab50-8203-4c1e-b2e7-cbb850670808
unidentified turf,,31,,,,,,,,fdc6a428-7596-4795-a4ba-fece4fbee0ee
Spiniferites scabratus,,31,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2; 38535a43-2982-4479-88c1-8303f7ee8665
"Nucifraga caryocatactes macrorhynchos C.L. Brehm, 1823",,31,"Chordata Bateson, 1885",Aves,Passeriformes,Corvidae,"Nucifraga Brisson, 1760",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Peridinium depressum,,31,,,,,,,,343468ea-7e09-4bca-acaf-4d23036a2015
Platycystidia sp.,,31,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2; 38535a43-2982-4479-88c1-8303f7ee8665
Eucalanus subcrassus pileatus,,31,,,,,,,,2e9e9830-d7cf-43f3-ba38-12ac06a7c0ba
Acanthaulax granulata,,31,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2
"Cercopithecus neglectus Schlegel, 1876",,31,"Chordata Bateson, 1885","Mammalia Linnaeus, 1758",Primates Linnaeus,Cercopithecidae Gray,"Cercopithecus Linnaeus, 1758",,,94733b9b-61d0-40c3-8577-440dd4cb2c41
Evalea micra,,31,Mollusca,Gastropoda,,Pyramidellidae,Evalea,,,58bb5aa2-2939-48d5-9015-b18706e26425; 8faf0e94-1c0e-479d-942c-7f21a4c0a5b4
"Calidris canutus canutus (Linnaeus, 1758)",,31,"Chordata Bateson, 1885",Aves,Charadriiformes,Scolopacidae,"Calidris Merrem, 1804",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Globorotalia varianta,,31,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665
"Cettia cetti cetti Temminck, 1820",,31,"Chordata Bateson, 1885",Aves,Passeriformes,Sylviidae,Cettia Bonaparte,,,e9acab50-8203-4c1e-b2e7-cbb850670808
Homotryblium floripes,,31,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2; 38535a43-2982-4479-88c1-8303f7ee8665
Indocrassatella abrupta,,31,,,,,,,,23678adb-b175-4352-856d-d43322374cb1
"Centropus senegalensis senegalensis (Linnaeus, 1766)",,31,"Chordata Bateson, 1885",Aves,Cuculiformes,Cuculidae,"Centropus Illiger, 1811",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Druggidium rhabdoreticulatum,,31,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665; b58d5ca0-1af8-48b3-993d-6c89742bb0d2
Chrysallida fenestrata,,31,,,,,,,,a9a3bdc6-209f-4c66-aafd-ce5271cb63b3
"Agapornis swindernianus zenkeri Reichenow, 1895",,31,"Chordata Bateson, 1885",Aves,Psittaciformes,Psittacidae,"Agapornis Selby, 1836",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Elytrocysta sp.,,31,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2; 38535a43-2982-4479-88c1-8303f7ee8665
Cynometra iripa,,31,Charophyta,,Fabales,Fabaceae,Cynometra,,,b27cd31d-82b2-4239-b6c9-30f73c312dc8
Ampelisca cristata cristata,,31,,,,,,,,41a50544-957c-4193-8bbf-25a25f749e85
Globorotalia cerroazulensis frontosa,,31,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665; b58d5ca0-1af8-48b3-993d-6c89742bb0d2
"Echinopsolus georgiana (Lampert, 1886)",,31,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Echinopsolus,,,679cb1fa-3d8d-4f22-bab0-8ca2971a96ce
Calliurichthys grossi,,31,,,,Callionymidae,Calliurichthys,,,5db2ffe4-8764-4647-9271-467192832793
"Ardea purpurea purpurea Linnaeus, 1766",,31,"Chordata Bateson, 1885",Aves,Ciconiiformes,Ardeidae,"Ardea Linnaeus, 1758",,,e9acab50-8203-4c1e-b2e7-cbb850670808
"Cursorius cursor cursor (Latham, 1787)",,31,"Chordata Bateson, 1885",Aves,Charadriiformes,Glareolidae,"Cursorius Latham, 1790",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Globorotalia euaperta,,31,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665
"Bombycilla garrulus garrulus (Linnaeus, 1758)",,31,"Chordata Bateson, 1885",Aves,Passeriformes,Bombycillidae,Bombycilla Vieillot,,,e9acab50-8203-4c1e-b2e7-cbb850670808
Cribronodosaria stimuleum,,31,,,,,,,,cdcddae2-a8e0-4c86-9e8d-f85134876937; b58d5ca0-1af8-48b3-993d-6c89742bb0d2
Clavatula australis,,31,,,,,,,,73b8993b-0afd-49c0-8321-7cbbc112801d
"Lacerta agilis agilis Linnaeus, 1758",,31,"Chordata Bateson, 1885","Reptilia Laurenti, 1768","Squamata Oppel, 1811",Lacertidae,"Lacerta Linnaeus, 1758",,,a86b3849-dc24-4058-a8a6-7b6fd55a0151
Chaetoceros lorenzianus,,31,,,,,,,,46c52e34-73b7-45e6-a2ac-742e4c2058c5
"Botaurus stellaris stellaris (Linnaeus, 1758)",,31,"Chordata Bateson, 1885",Aves,Ciconiiformes,Ardeidae,"Botaurus Stephens, 1819",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Hyporhamphus ardelio,,31,,,,Hemiramphidae,Hyporhamphus,,,5db2ffe4-8764-4647-9271-467192832793
"Cercotrichas hartlaubi (Reichenow, 1891)",,31,"Chordata Bateson, 1885",Aves,Passeriformes,"Turdidae Rafinesque, 1815","Cercotrichas Boie, 1831",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Eburna dimidiata,,31,,,,,,,,e1df0eb1-0b1e-4f7a-bd85-e3df36bec1e8; 8c65364c-8676-437a-a707-d0835d9ff1be
"Cisticola juncidis cisticola  (Temminck, 1820)",,31,"Chordata Bateson, 1885",Aves,Passeriformes,Cisticolidae,"Cisticola Kaup, 1829",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Globobulimina subglobosa,,31,,,,,,,,488f7e7c-1c38-468c-b11a-843c55b4ab01; b06bc9f1-220a-4c9c-9bf3-30b2638e70a0; 38535a43-2982-4479-88c1-8303f7ee8665
Globorotalia kugleri mendacis,,30,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665
Acinaceidae,,30,,,,,,,,04e3fd32-b08b-4806-a016-d2dff52ae55a
Capoeta macrolepis,,30,,,,,,,,9f1a9d1c-833e-4fbc-9ecf-1918c7a8b699
Goniaulax monilata,,30,,,,,,,,0648a759-1621-4a53-bc98-ec28e9c964e1; b795fd5d-71ab-413f-9bb6-90d803dce53c
Hilaria proletaria,,30,,,,,,,,d98337e1-977f-4e4c-bd02-ae0aa69caa3a
Cibicides lobatus,,30,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665
crustose coralline,,30,,,,,,,,fdc6a428-7596-4795-a4ba-fece4fbee0ee
Class appendicularia,,30,,,,,,,,44d02422-9ead-4392-8e0b-39aaefe2ce01; a28d3c22-183e-4e5e-a9ee-38240fcd4241
Eunoe oerstedi malmgren,,30,,,,,,,,a0a3811f-4040-4ade-aa01-31c91e915938; 2d120946-a510-4287-a7da-404277ebca5f; f75ab2b5-a9df-4030-9e15-ee3598143887; d29d7aa5-08e0-4c1f-9b1c-3b46b3b93563; 2ed8adcd-c829-4928-9a3a-804e58830f24; e972a6ab-3015-433a-8ad9-705d4939a28f; 579ff94c-c6a5-4589-9903-8ce3db8051d1; c3b2259c-48ab-45ad-bf9b-024163aeb541
"Asellia tridens (Geoffroy Saint-Hilaire, 1813)",,30,"Chordata Bateson, 1885","Mammalia Linnaeus, 1758","Chiroptera Blumenbach, 1779",Rhinolophidae Gray,"Asellia Gray, 1838",,,94733b9b-61d0-40c3-8577-440dd4cb2c41
Balanophyllia desmophylloides,,30,,,,,,,,e971710e-054e-43f2-b23c-c149d6c76cb4; 49bbc435-2bff-432c-8dd4-b2e7b514ada3
Family%20halocyprididae,,30,,,,,,,,a22ce686-0602-406e-a46e-6f7f3ba45cee
Globoquadrina zuelana,,30,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665
Cyrnus flavidus,,30,,,,,,,,43d19bf8-4d49-413b-bedb-4fa4547714fa; ec9df3b9-3b2b-4d83-881b-27bcbcd57b95
Chaoborus,,30,,,,,,,,43d19bf8-4d49-413b-bedb-4fa4547714fa; 41a50544-957c-4193-8bbf-25a25f749e85
Globorotalia nana nana,,30,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665
"Candoia carinata carinata (Schneider, 1801)",,30,"Chordata Bateson, 1885","Reptilia Laurenti, 1768","Squamata Oppel, 1811",Boidae Gray,"Candoia Gray, 1842",,,a86b3849-dc24-4058-a8a6-7b6fd55a0151
Compsothyris¬†¬†¬†¬† racovitzae,,30,,,,,,,,83339d6a-7519-40fe-ba06-f122828641cf
Bryozoan 33,,30,,,,,,,,7812d226-7630-47e1-bc49-0941187a9a51
"Carduelis cabaret (Statius Müller, PL, 1776)",,30,"Chordata Bateson, 1885",Aves,Passeriformes,Fringillidae,"Carduelis Brisson, 1760",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Cristadinium cristatoserratum,,30,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2
Globigerinoides sacculifer fistulosus,,30,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665; b58d5ca0-1af8-48b3-993d-6c89742bb0d2
Compsothyris¬†¬†¬†¬† racovitzae¬†¬†¬†¬†,,30,,,,,,,,83339d6a-7519-40fe-ba06-f122828641cf
Acarinina densa,,30,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665; b58d5ca0-1af8-48b3-993d-6c89742bb0d2
Invertebrata,,30,,,,,,,,f1ad2d12-8f7e-4b56-848c-ffa9c6103eb1
Dagetichthys lusitanica,,30,,,,,,,,705770e5-3474-4e69-be8b-3107a0c5610a
Chaetoceros peruvianum f. gracile,,30,,,,,,,,f6e5b0ee-d645-40fc-a433-17fd8965c941
"Columba oenas oenas Linné, 1758",,30,"Chordata Bateson, 1885",Aves,Columbiformes,Columbidae,"Columba Linnaeus, 1758",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Grateloupia,,30,,,,,,,,8d23af49-296a-4777-8e31-8b2c2dedad26; 607ec4a0-f6b0-4958-899c-010c1463cd97
Agglutinated sp.,,30,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2
"Buteo augur (Rüppell, 1836)",,30,"Chordata Bateson, 1885",Aves,Falconiformes,Accipitridae,"Buteo de la Ville Lacépède, 1799",,,e9acab50-8203-4c1e-b2e7-cbb850670808
"Dendropicos fuscescens centralis Neumann, 1900",,30,"Chordata Bateson, 1885",Aves,Piciformes,Picidae,"Dendropicos Malherbe, 1849",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Catapsydrax ciperoensis,,30,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665
Hydroides elegans norvegica,,30,,,,,,,,a9a3bdc6-209f-4c66-aafd-ce5271cb63b3
Parakiefferiella smolandica,,30,,,,,,,,43d19bf8-4d49-413b-bedb-4fa4547714fa
Rhizosolenia cylindrus,http://gni.globalnames.org/?search_term=id:2148200,30,Ochrophyta,Diatomophyceae/Bacillariophyceae,Centrales,Rhizosoleniaceae,Rhizosolenia,,,45fc0c67-0761-4927-8dfb-34814794d1a3
"Podarcis muralis (Laurenti, 1768)",,30,"Chordata Bateson, 1885","Reptilia Laurenti, 1768","Squamata Oppel, 1811",Lacertidae,"Podarcis Wagler, 1830",,,a86b3849-dc24-4058-a8a6-7b6fd55a0151
"Tchagra minutus minutus (Hartlaub, 1858)",,30,"Chordata Bateson, 1885",Aves,Passeriformes,Corvidae,"Tchagra Lesson, 1830",,,e9acab50-8203-4c1e-b2e7-cbb850670808
"Pentholaea arnotti arnotti  (Tristram, 1869)",,30,"Chordata Bateson, 1885",Aves,Passeriformes,"Turdidae Rafinesque, 1815","Pentholaea Cabanis, 1850",,,e9acab50-8203-4c1e-b2e7-cbb850670808
"Mergus merganser merganser Linnaeus, 1758",,30,"Chordata Bateson, 1885",Aves,Anseriformes,Anatidae,"Mergus Linnaeus, 1758",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Nonion havaenses,,30,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665
Nuculana bellotti,,30,,,,,,,,3dbbeff2-2801-411f-80e5-438222f1aaa4
"Suncus murinus (Linnaeus, 1766)",,30,"Chordata Bateson, 1885","Mammalia Linnaeus, 1758",Insectivora Bowdich,Soricidae Fischer von Waldheim,"Suncus Ehrenberg, 1833",,,94733b9b-61d0-40c3-8577-440dd4cb2c41
"Milvus milvus milvus (Linnaeus, 1758)",,30,"Chordata Bateson, 1885",Aves,Falconiformes,Accipitridae,"Milvus de la Ville Lacépède, 1799",,,e9acab50-8203-4c1e-b2e7-cbb850670808
"Lophuromys sikapusi ansorgei (De Winton, 1896)",,30,"Chordata Bateson, 1885","Mammalia Linnaeus, 1758","Rodentia Bowdich, 1819",Muridae Illiger,"Lophuromys Peters, 1874",,,94733b9b-61d0-40c3-8577-440dd4cb2c41
Phyllodoce Anaitides rosea,,30,,,,,,,,a9a3bdc6-209f-4c66-aafd-ce5271cb63b3
Redigobius micropthalmus,,30,,,,Gobiidae,Redigobius,,,5db2ffe4-8764-4647-9271-467192832793
Oratosquilla inornata,,30,,,,,,,,e971710e-054e-43f2-b23c-c149d6c76cb4; 7812d226-7630-47e1-bc49-0941187a9a51
Spongaster tetras irregularis,,30,Sarcodina,Actinopoda,Spumellaria,Spongodiscidae,Spongaster,,,2859e656-7354-4b96-bbe4-08719aede5c4
Phalacroma parvum,,30,,,,,,,,f7d8aa43-cdfe-4be2-82a6-88ee33c5c60c
"Streptopelia capicola tropica (Reichenow, 1902)",,30,"Chordata Bateson, 1885",Aves,Columbiformes,Columbidae,"Streptopelia Bonaparte, 1855",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Munida heteracantha,,30,,,,,,,,e971710e-054e-43f2-b23c-c149d6c76cb4
Subbotina labiacrassata,,30,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2
"Tepuihyla obscura Kok, Ratz, Tegelaar, Aubret , Means 2015",,30,"Chordata Bateson, 1885","Amphibia Linnaeus, 1758",Anura Rafinesque,Hylidae Rafinesque,"Tepuihyla Ayarzagüena, Señaris & Gorzula, 1993",,,7c9aa715-ea1e-4dae-876b-1fde99448ce0
"Mabuya quiquetaeniata scharica (Sternfeld, 1917)",,30,"Chordata Bateson, 1885","Reptilia Laurenti, 1768","Squamata Oppel, 1811",Scincidae,"Mabuya Fitzinger, 1826",,,a86b3849-dc24-4058-a8a6-7b6fd55a0151
"Lygodactylus angolensis Bocage, 1897",,30,"Chordata Bateson, 1885","Reptilia Laurenti, 1768","Squamata Oppel, 1811",Gekkonidae,"Lygodactylus Gray, 1864",,,a86b3849-dc24-4058-a8a6-7b6fd55a0151
Paraeupolymnia uiana,,30,,,,,,,,e1df0eb1-0b1e-4f7a-bd85-e3df36bec1e8
Oncaea media var. major,,30,,,,,,,,2e9e9830-d7cf-43f3-ba38-12ac06a7c0ba
"Limosa lapponica lapponica (Linnaeus, 1758)",,30,"Chordata Bateson, 1885",Aves,Charadriiformes,Scolopacidae,"Limosa Brisson, 1760",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Planorotalites ehrenbergii,,30,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665
"Tanganyikacythere rotunda Wouters, 2008",,30,Arthropoda,"Ostracoda Latreille, 1802","Podocopida Sars, 1866","Cytherideidae Sars, 1925","Tanganyikacythere Ducasse & Carbonel, 1993",,,0912e81c-c5ac-4a53-b719-a9ae6535f895
Paradoxostoma antarcticum,,29,Arthropoda,Ostracoda,Podocopida,Paradoxostomatidae,Paradoxostoma,,,ccd6e783-32be-4026-8ed8-0b9ca265aeb1
Pyrgophorus jamaicensis,,29,,,,,,,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
Unknown spp,,29,,,,Bothidae,,,,12f19598-cd7a-4b6e-a26a-633a338606e2
Polypodorhabdus madingleyensis,,29,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2
Pterelotris sp.,,29,,,,,,,,5f2da252-6d49-4c9f-b3b3-1db53d75b345; 0332e1b5-5525-4301-9659-ef3da3e4e2b6; 513e4437-9cc7-4383-9a69-1bd18ec2046a
Luidia priarata,,29,,,,,,,,28ccee1e-8f1a-400b-a112-86536192a402
Rhynchodiniopsis fimbriata,,29,,,,,,,,cdcddae2-a8e0-4c86-9e8d-f85134876937; 38535a43-2982-4479-88c1-8303f7ee8665; b58d5ca0-1af8-48b3-993d-6c89742bb0d2
(meiofauna total abundance),,29,,,,,,,,10a11d60-4d61-4a54-9479-2083e1554699
"Rhodopis vesper vesper (Lesson, 1829)",,29,"Chordata Bateson, 1885",Aves,Apodiformes,Trochilidae,"Rhodopis Reichenbach, 1854",,,e9acab50-8203-4c1e-b2e7-cbb850670808
