scientificname,scientificnameid,records,phylum,class,order,family,genus,annotation_type,annotation_aphiaid,datasets
Oithona,,2317,,,,,,,,363961a9-9f45-46df-980b-0b076e66a296; efe02bea-8a90-48f2-bb6b-d65141295d1d
Eukaryota,,2115,,,,,,,,2fd06604-7d20-4712-9f68-eae9ae336bb5
HENRICA SP.,urn:lsid:marinespecies.org:taxname:,2099,,,,,,,,185fe84e-91f7-4f2c-b2ac-115116c7111e
Ardea picata,,1938,,,,,,,,09af1850-4be0-4840-8cac-b7088d3cd4ec
Pandion cristatus,,1689,Chordata,Aves,Falconiformes,Accipitridae,Pandion,,,cbb1c4d3-73d9-41aa-94d5-d637b60ad1e5
Chaetoceros compressum,,1622,,,,,,,,f6e5b0ee-d645-40fc-a433-17fd8965c941
Terebellidae,,1591,,,,,,,,a9a3bdc6-209f-4c66-aafd-ce5271cb63b3; fab2647b-13b6-430d-98f1-31c6d842b372; 62079bf3-19fc-4a28-9064-4134b7dbe98b; ebe7ffad-b134-40d3-b3df-21b675c4bcb1; 6d814d91-cb98-4d6b-aae3-998ac7b43d32; 63187f4a-1af9-4611-8f05-e806676ab55b; 8acba7e7-2e50-4490-8328-b78a30472508; 598902d8-e0f8-4391-8323-69c4257e048f; 2c30e8ee-3068-437c-bf94-499e06cdd4e4; 51078b37-d4a9-4a1d-9c94-92ee60299a3d; 19abb100-fb94-4295-ab17-bb3e58674cf3; f7a8bd7b-1c7f-4c99-8e20-ecfabeb02e75; 3dbbeff2-2801-411f-80e5-438222f1aaa4; 12acbce5-cb41-48c4-bd80-6030b0f0a83f; 6f875daa-8e2d-4864-8218-92ce4f40a5d4; 53172248-5301-426f-9000-b94636ccce0b; 80486acf-df76-4f48-b610-91258e8c3652; 14242931-d643-4f29-a505-4d8eab59751b
Grania,,1554,,,,,,,,a9a3bdc6-209f-4c66-aafd-ce5271cb63b3; 63187f4a-1af9-4611-8f05-e806676ab55b; ebe7ffad-b134-40d3-b3df-21b675c4bcb1; 19abb100-fb94-4295-ab17-bb3e58674cf3; 12acbce5-cb41-48c4-bd80-6030b0f0a83f; f7a8bd7b-1c7f-4c99-8e20-ecfabeb02e75
Pteropoda thecosomata,,1547,,,,,,,,56e55f76-6dda-403d-805b-f8922fa1766d; 7f5f426e-80bc-4f3b-8d1c-697b086287e8
Pteropoda gymnosomata,,1546,,,,,,,,56e55f76-6dda-403d-805b-f8922fa1766d
Monad,,1480,,,,,,,,b9915edd-16b0-4aa9-9a0d-3d14574cfb61
Picophytoplankton,0,1447,0,0,0,0,0,,,e815809e-fcb5-4ee7-8edd-639aa4b4892d
Parapagurus dimorphus,,1338,,,,,,,,3b2a79a4-ef3c-4b0a-829a-9bcbc9f00e5c; 4f46f9d8-dc63-4546-9dd5-075df3d25e4a
Eurytomidae,,1336,Arthropoda,Insecta,Hymenoptera,Eurytomidae,,,,8eeabc8b-33f9-46e9-80bb-dcb6e504c24b; e22b7277-2eb7-4e2f-8111-219ed29174db; 6f0c8bfd-e76a-4d4f-b5e5-6c3983d6067b; b8021b2a-6b27-4833-aa19-91631595c397; d3949eb1-ad8f-44fc-8e44-46c5f138126f; 1123992d-bdd3-4fc4-ae83-aa3938a53781; 8fa23a26-1655-4577-86d2-713dae162cab; ba91e513-7bed-4d1a-ba5a-0cd926b76b46; 42334eea-fbf8-4b1e-9e62-85008bcc3bf6; e35fcf81-e749-4bf5-a22c-b6e1cad8cbea; 65879312-2a5b-4c60-bc9b-97ab9e105336; 4f047510-f0e4-4eed-a89f-25a2ca5c2754; b91527ef-521d-4e8c-aeec-e554118a6618; 50543b86-2e32-4ac6-9bd9-bb33bb48cbbc; af43ae80-11b6-467a-a902-822ba33377d8; 3e0eb6f8-2704-4369-be11-d3d58e9f1bd2; 07d39abf-bd4a-4d8b-8deb-4adc77a7458b
Illex illecebrosus,urn:lsid:marinespecies.org:taxname:,1333,Mollusca,Cephalopoda,Teuthida,Ommastrephidae,Illex,,,185fe84e-91f7-4f2c-b2ac-115116c7111e
Leptocylindrus danicus,,1316,,,,,,,,46c52e34-73b7-45e6-a2ac-742e4c2058c5; 62ddad25-2a19-485d-9bae-7eb3a40a71c5
Globigerinoides obliquus obliquus,,1314,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665; b58d5ca0-1af8-48b3-993d-6c89742bb0d2
Paelopadites,,1313,,,,,,,,a419c8da-35ed-4b62-9709-39b56369c44e
Undaria pinnatifida f. pinnatifida,,1308,,,Laminariales,,Undaria,,,2e0f8766-9a75-4422-9ba4-7f65acfbeb51
No fish,NA,1281,,,,,,,,d32266b4-d98d-4eed-8207-57dff1f14cc4
Raja brachyura,,1227,Chordata,Elasmobranchii,Rajiformes,Rajidae,Bathyraja,,,262979e7-0788-4889-9fec-ef2feedff5b2; 52b4a965-669d-4c5e-b564-326022a1c064; ad65221f-0539-44aa-925e-4acf62ad0c6a; 28994fa2-d07a-45c9-84b7-3fff3d728f4b; c238cd9b-50c0-4185-9ed2-0bccb25e6386; 34fa67d9-6100-47c6-a264-45ee6a54b427
STONES AND ROCKS,urn:lsid:marinespecies.org:taxname:,1223,,,,,,,,185fe84e-91f7-4f2c-b2ac-115116c7111e
Neogloboquadrina pachyderma dutertrei intergrade,,1203,,,,,,,,b08e636b-f5be-4f7f-81db-bdafcdf68e57; b58d5ca0-1af8-48b3-993d-6c89742bb0d2; 6897b33d-8865-4a9b-ae13-2d73cd33d1e5; 38535a43-2982-4479-88c1-8303f7ee8665; cdcddae2-a8e0-4c86-9e8d-f85134876937
Coccolithophoridae,,1176,,,,,,,,65f7c77e-3ed5-4d87-85d2-8543aded2bf9; cdcddae2-a8e0-4c86-9e8d-f85134876937; 5cd70a8c-f2e0-4dc0-a4e2-fd68c1a1d065; 6897b33d-8865-4a9b-ae13-2d73cd33d1e5; d0fb113f-bead-4429-9fc1-e863e77b0dd8; 33402693-a77d-443e-87a7-f9597315f76c; 9243edbf-0c0e-4b95-a181-973223b0c78c; 0648a759-1621-4a53-bc98-ec28e9c964e1; 38535a43-2982-4479-88c1-8303f7ee8665
Magnetobacterium,,1160,,,,,,,,2fd06604-7d20-4712-9f68-eae9ae336bb5
Turborotalita quinqueloba dextralis,,1128,,,,,,,,488f7e7c-1c38-468c-b11a-843c55b4ab01; 55fe88ac-f76a-40c5-b529-037b460a5771; 6897b33d-8865-4a9b-ae13-2d73cd33d1e5
Turborotalita quinqueloba sinistralis,,1080,,,,,,,,488f7e7c-1c38-468c-b11a-843c55b4ab01; 55fe88ac-f76a-40c5-b529-037b460a5771
"unid. remains [SEF study, 2010]",,1066,,,,,,,,1701dd73-9a96-48c8-9049-e5b1ca3c6993
NA,,1063,NA,NA,NA,NA,NA,,,ccd6e783-32be-4026-8ed8-0b9ca265aeb1
Ceramium virgatum,,1060,,,,,,,,9c8a2ac6-f394-4fa1-981e-227fa7b14675
Balaenoptera musculus,,1055,,,,,,,,58aa1bf7-2332-41f2-bc74-0c472094af06; f96f51b2-a8c7-440e-b345-4607d242c610
Unidentified - 9630,urn:lsid:marinespecies.org:taxname:,1055,,,,,,,,185fe84e-91f7-4f2c-b2ac-115116c7111e
Phyllophora,,1025,,,,,,,,9c8a2ac6-f394-4fa1-981e-227fa7b14675; f7a8bd7b-1c7f-4c99-8e20-ecfabeb02e75; ebe7ffad-b134-40d3-b3df-21b675c4bcb1; 63187f4a-1af9-4611-8f05-e806676ab55b; a9a3bdc6-209f-4c66-aafd-ce5271cb63b3
Cancer irroratus,urn:lsid:marinespecies.org:taxname:,1021,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,,,185fe84e-91f7-4f2c-b2ac-115116c7111e
Gonatus fabricii,,1017,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Gonatus,,,f7e3baa2-48c9-47d9-9219-0a457615d610
Unilocular species,,999,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2; 38535a43-2982-4479-88c1-8303f7ee8665; 5591f393-fc15-461f-ab1f-da45e72339ee
Globigerinoides quadrilobatus sacculifer,,964,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665
pennate diatoms,,945,,,,,,,,6f7372ff-0199-4e51-9728-69cb536aaa14
Sorex coronatus complex,,943,"Chordata Bateson, 1885","Mammalia Linnaeus, 1758",Insectivora Bowdich,Soricidae Fischer von Waldheim,"Sorex Linnaeus, 1758",,,94733b9b-61d0-40c3-8577-440dd4cb2c41
Globorotalia tumida flexuosa,,936,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665; d338c518-7193-47a1-8922-bc71b54849f5; b58d5ca0-1af8-48b3-993d-6c89742bb0d2
Geopelia humeralis,,903,Chordata,Aves,Columbiformes,Columbidae,Geopelia,,,cbb1c4d3-73d9-41aa-94d5-d637b60ad1e5
Navicula,,849,,,,,,,,46c52e34-73b7-45e6-a2ac-742e4c2058c5; d6fcd171-ee34-4fba-b03f-78290accb814; b795fd5d-71ab-413f-9bb6-90d803dce53c
Seriolella antarctica,,847,,,,,,,,fd13c964-0fb6-4ef4-ae89-e35fc88a9c77; 8a1ae661-e911-4967-bc06-1168fc5f2d89
Achnanthes taeniata,,839,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,,,46c52e34-73b7-45e6-a2ac-742e4c2058c5
"UNID REMAINS,DIGESTED",urn:lsid:marinespecies.org:taxname:,829,,,,,,,,185fe84e-91f7-4f2c-b2ac-115116c7111e
Spinoecia porrecta,,827,,,,,,,,56e55f76-6dda-403d-805b-f8922fa1766d; 008d2fad-c175-4c3e-87df-a6f1d0ff5154; 542ff33e-07a8-4a98-b6df-2b5371177f4a; 7e5277ae-fca3-455c-b2aa-4a0c4f4a7a2e
Dicrostonyx_groenlandicus,,819,,Mammalia,Rodentia,Cricetidae,Dicrostonyx,,,6b6ae0c9-662d-4a81-8caf-dd189db81f88
Prochlorales,,814,,,,,,,,2fd06604-7d20-4712-9f68-eae9ae336bb5
Sardinops sagax ocellatus,,798,,,,,,,,3b2a79a4-ef3c-4b0a-829a-9bcbc9f00e5c
Chaetoceros neapolitanum,,798,,,,,,,,f6e5b0ee-d645-40fc-a433-17fd8965c941
Pyrrophycophyta,,791,,,,,,,,f7d8aa43-cdfe-4be2-82a6-88ee33c5c60c; 46c52e34-73b7-45e6-a2ac-742e4c2058c5; 8f72cf3f-5562-4be0-b0ad-c248f4fd211b
Globigerina quinqueloba dextralis,,781,,,,,,,,e724b7a8-b199-410c-a23c-1d46627df133; 488f7e7c-1c38-468c-b11a-843c55b4ab01; 1bcef367-cb04-4cf6-ab1e-eab1c2b0172a; b58d5ca0-1af8-48b3-993d-6c89742bb0d2
Rhizosolenia delicatula,,781,,,,,,,,46c52e34-73b7-45e6-a2ac-742e4c2058c5; 62ddad25-2a19-485d-9bae-7eb3a40a71c5
Nitzschia closterium,,756,,,,,,,,46c52e34-73b7-45e6-a2ac-742e4c2058c5; d6fcd171-ee34-4fba-b03f-78290accb814
Globigerinoides quadrilobatus trilobatus,,737,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665
Emarginula rosea,,734,,,,,,,,a9a3bdc6-209f-4c66-aafd-ce5271cb63b3; 63187f4a-1af9-4611-8f05-e806676ab55b; 19abb100-fb94-4295-ab17-bb3e58674cf3; ebe7ffad-b134-40d3-b3df-21b675c4bcb1; 12acbce5-cb41-48c4-bd80-6030b0f0a83f
Teuthoidea,,722,,,,,,,,7812d226-7630-47e1-bc49-0941187a9a51; a419c8da-35ed-4b62-9709-39b56369c44e; 3d8430ee-0281-4271-8449-67394407bc23; 3b2a79a4-ef3c-4b0a-829a-9bcbc9f00e5c; 63187f4a-1af9-4611-8f05-e806676ab55b
Vitreosalpa gemini,,713,,,,,,,,a419c8da-35ed-4b62-9709-39b56369c44e
Globorotalia continuosa,,707,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665; b58d5ca0-1af8-48b3-993d-6c89742bb0d2
Doto,,662,,,,,,,,a9a3bdc6-209f-4c66-aafd-ce5271cb63b3; 63187f4a-1af9-4611-8f05-e806676ab55b; ebe7ffad-b134-40d3-b3df-21b675c4bcb1; 19abb100-fb94-4295-ab17-bb3e58674cf3; 80486acf-df76-4f48-b610-91258e8c3652
Appendicularia,,660,,,,,,,,363961a9-9f45-46df-980b-0b076e66a296; 7b32d3ea-a8ad-455c-b1e8-b22a34ca17fd; 1b92d97a-3a1d-4bbf-9304-c56ba34ea041
Globoquadrina baroemoenensis,,657,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665; b58d5ca0-1af8-48b3-993d-6c89742bb0d2
Scuticociliadida,,644,,,,,,,,2fd06604-7d20-4712-9f68-eae9ae336bb5
Flagellate biflagella,,628,,,,,,,,b9915edd-16b0-4aa9-9a0d-3d14574cfb61
Chaetoceros curvisetus,,626,,,,,,,,46c52e34-73b7-45e6-a2ac-742e4c2058c5; 62ddad25-2a19-485d-9bae-7eb3a40a71c5
Polydora,,626,,,,,,,,a9a3bdc6-209f-4c66-aafd-ce5271cb63b3; 3dbbeff2-2801-411f-80e5-438222f1aaa4; 2f6e3dbd-64b0-4371-9a67-6e98305a32e0; 51078b37-d4a9-4a1d-9c94-92ee60299a3d; fab2647b-13b6-430d-98f1-31c6d842b372
Algae,,623,,,,,,,,63187f4a-1af9-4611-8f05-e806676ab55b; ebe7ffad-b134-40d3-b3df-21b675c4bcb1; f7a8bd7b-1c7f-4c99-8e20-ecfabeb02e75; d613e932-1d8e-4fc1-b596-95d3f980ebdb; 80486acf-df76-4f48-b610-91258e8c3652
Stramenopiles,,619,,,,,,,,2fd06604-7d20-4712-9f68-eae9ae336bb5
"Mustela nivalis nivalis Linnaeus, 1766",,616,"Chordata Bateson, 1885","Mammalia Linnaeus, 1758",Carnivora Bowdich,Mustelidae Fischer von Waldheim,"Mustela Linnaeus, 1758",,,94733b9b-61d0-40c3-8577-440dd4cb2c41
Spinoecia parthenoda,,616,,,,,,,,56e55f76-6dda-403d-805b-f8922fa1766d; 008d2fad-c175-4c3e-87df-a6f1d0ff5154; 542ff33e-07a8-4a98-b6df-2b5371177f4a
Favocassidulina fava,,614,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2; 488f7e7c-1c38-468c-b11a-843c55b4ab01
Ardea picata,,611,Chordata,Aves,Ciconiiformes,Ardeidae,,,,92430db9-eccc-4b53-a7d0-1d89250bff4f
Onuphis pallidula,,611,,,,,,,,982d4bc2-c3f1-4018-befd-ed34b101e4b1; e7c86904-aac7-4a17-a895-99a54c430d80; 89e23fc8-3f61-4480-9de3-358fe6eefe0b
Lagena sp.,,605,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665; b58d5ca0-1af8-48b3-993d-6c89742bb0d2; 6cd4445d-5d99-420b-98bf-2649b6731f0c; b08e636b-f5be-4f7f-81db-bdafcdf68e57; cdcddae2-a8e0-4c86-9e8d-f85134876937; f0bbfd00-2631-4006-b6bc-5c88f166852c; 33402693-a77d-443e-87a7-f9597315f76c; 72f1ab78-1fc3-493d-943f-8e16c6112f26
"Talpa europaea europaea Linnaeus, 1758",,600,"Chordata Bateson, 1885","Mammalia Linnaeus, 1758",Insectivora Bowdich,Talpidae Fischer von Waldheim,"Talpa Linnaeus, 1758",,,94733b9b-61d0-40c3-8577-440dd4cb2c41
Stilostomella subspinosa,,600,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665; b58d5ca0-1af8-48b3-993d-6c89742bb0d2
Globigerinoides quadrilobatus quadrilobatus,,594,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665
Larus dominicanus dominicanus,ITIS:TSN:824792,587,Chordata,Aves,Charadriiformes,Laridae,Larus,,,23c15f33-94a8-4e3e-bb76-5d5b0bf203f8
"Mastomys natalensis Smith, 1834",,585,"Chordata Bateson, 1885","Mammalia Linnaeus, 1758","Rodentia Bowdich, 1819",Muridae Illiger,"Mastomys Thomas, 1915",,,94733b9b-61d0-40c3-8577-440dd4cb2c41
Polysiphonia,,580,,,,,,,,f7a8bd7b-1c7f-4c99-8e20-ecfabeb02e75; 63187f4a-1af9-4611-8f05-e806676ab55b; a9a3bdc6-209f-4c66-aafd-ce5271cb63b3; ebe7ffad-b134-40d3-b3df-21b675c4bcb1; 19abb100-fb94-4295-ab17-bb3e58674cf3; 6f875daa-8e2d-4864-8218-92ce4f40a5d4; 80486acf-df76-4f48-b610-91258e8c3652
Globigerina bulloides quadrilatera,,577,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665
Neogloboquadrina atlantica dextralis,,567,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2; 38535a43-2982-4479-88c1-8303f7ee8665
Spio,,564,,,,,,,,a9a3bdc6-209f-4c66-aafd-ce5271cb63b3; 63187f4a-1af9-4611-8f05-e806676ab55b; ebe7ffad-b134-40d3-b3df-21b675c4bcb1; 8acba7e7-2e50-4490-8328-b78a30472508; 12acbce5-cb41-48c4-bd80-6030b0f0a83f; 3dbbeff2-2801-411f-80e5-438222f1aaa4; 53172248-5301-426f-9000-b94636ccce0b; 363961a9-9f45-46df-980b-0b076e66a296
Lumbrineris aniara cingulata,,556,,,,,,,,a9a3bdc6-209f-4c66-aafd-ce5271cb63b3
Chone,,556,,,,,,,,a9a3bdc6-209f-4c66-aafd-ce5271cb63b3; 53172248-5301-426f-9000-b94636ccce0b; 3dbbeff2-2801-411f-80e5-438222f1aaa4; 51078b37-d4a9-4a1d-9c94-92ee60299a3d
Flagellate uniflagella,,552,,,,,,,,b9915edd-16b0-4aa9-9a0d-3d14574cfb61
Egg,,550,,,,,,,,e168c19e-d9e9-447c-b077-1faa487df4a6; 9d699bfd-d73a-4b55-b113-6c0a8551f481
Saccharina japonica var. japonica,,550,,,Laminariales,,Saccharina,,,2e0f8766-9a75-4422-9ba4-7f65acfbeb51
Sphaeroidinella subdehiscens,,549,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665
Rhizosolenia imbricata,,548,,,,,,,,46c52e34-73b7-45e6-a2ac-742e4c2058c5; 62ddad25-2a19-485d-9bae-7eb3a40a71c5
Rhizobium,,540,,,,,,,,2fd06604-7d20-4712-9f68-eae9ae336bb5
